id,audit,wranglingpercentc,codingpercentc,dtreepercentc,snapercentc,nlppercentc,vizpercentc,nnetpercentc,googlepercentc,nongooglepercentc,jitlpercentc,subsantivepercentc,wranglingclick,codingclick,dtreeclick,snaclick,nlpclick,vizclick,nnetclick,googleclick,nongoogleclick,jitlclick,substantiveclick,wranglingtime,codingtime,dtreetime,snatime,nlptime,viztime,nnettime,googletime,nongoogletime,jitltime,substantivetime
1961,0,1,0.6153846154,0.5,0.6666666667,0.7777777778,1,0.6666666667,0.6315789474,0.8181818182,0.5,0.8,1.25,3.3846153846,2,3.1666666667,3,5.3333333333,3.6666666667,2.0526315789,4.6363636364,3,5.2,71.41275,165.6684615385,156.41975,182.9163333333,130.8032222222,176.302,189.086,132.9614210526,164.5975454545,212.967,227.2634
1884,0,0.75,0.5384615385,0.75,0.5,0.5555555556,0.6666666667,0.6666666667,0.6842105263,0.5454545455,1,0.6,7,10.1538461538,5,11.3333333333,3.6666666667,14,2.6666666667,5.8421052632,6.6363636364,13.5,4.4,193.909,246.9323846154,130.04025,281.9626666667,140.6158888889,295.5703333333,94.7166666667,176.1702105263,155.4212727273,366.109,150.8996
1962,0,0.75,0.5384615385,0.5,0.3333333333,0.6666666667,0.6666666667,1,0.6842105263,0.5454545455,1,0.8,1.5,6.5384615385,8.5,3.3333333333,4,8.3333333333,6.3333333333,4.6842105263,7.4545454545,4,4.4,101.00875,229.3906923077,138.461,273.2545,130.9958888889,309.852,183.352,171.8875263158,191.3047272727,373.961,146.5642
1467,0,0.75,0.5384615385,0.5,0.5,0.7777777778,0.6666666667,1,0.7368421053,0.6363636364,1,0.8,2.25,3.9230769231,3,4.1666666667,3.1111111111,3.3333333333,4.3333333333,3.3157894737,3.7272727273,5,3,230.065,302.042,79.38625,415.507,140.4628888889,204.625,127.4063333333,212.8072631579,178.8300909091,509.4755,177.8674
1872,0,0.75,0.6923076923,1,0.6666666667,0.5555555556,0.6666666667,1,0.8421052632,0.5454545455,1,0.8,6,15.2307692308,11,17.3333333333,9.2222222222,14.3333333333,13.3333333333,10.7894736842,13.2727272727,22.5,14.4,130.6825,246.9445384615,191.44975,301.8261666667,163.8522222222,190.4453333333,151.8796666667,203.1928947368,182.9515454545,346.8075,161.9666
1599,0,0.75,0.6153846154,0.75,0.8333333333,0.7777777778,0.6666666667,1,0.7894736842,0.7272727273,0.5,0.8,1.75,3.2307692308,2,4,1.5555555556,3.3333333333,2,2.4210526316,2,4.5,1.6,113.8045,216.7796923077,208.03175,215.008,190.279,248.8093333333,259.8873333333,192.561,201.5043636364,227.7075,239.0752
1251,0,0.75,0.5384615385,0.75,0.3333333333,0.7777777778,0.6666666667,1,0.7368421053,0.5454545455,0.5,1,7.25,7,5.75,5.6666666667,3.8888888889,12.6666666667,6.3333333333,4.6842105263,6.4545454545,8,5.4,223.79125,298.2806153846,156.322,311.747,143.9858888889,398.1233333333,210.5343333333,212.0847368421,212.8068181818,404.419,131.3062
1270,0,0.75,0.6923076923,0.75,1,0.6666666667,0.6666666667,1,0.8947368421,0.5454545455,0.5,0.8,2.75,3.8461538462,4.25,5.1666666667,4.3333333333,3,8.3333333333,4.3157894737,5,3.5,7.4,109.42975,193.6413846154,252.69075,227.5021666667,206.3913333333,128.5203333333,257.227,186.8936315789,239.3362727273,227.73,354.5424
1343,0,0.75,0.6923076923,0.75,0.6666666667,0.7777777778,0.6666666667,1,0.8421052632,0.6363636364,1,0.8,3,12.2307692308,8.25,15.5,10.6666666667,9.3333333333,9.6666666667,10.1052631579,9.8181818182,16.5,10.4,154.96775,274.7703846154,221.57075,273.4035,249.972,144.8543333333,90.1803333333,199.4226842105,230.268,255.3125,327.0674
1756,0,0.75,0.7692307692,1,1,0.8888888889,0.6666666667,1,1,0.6363636364,1,1,1.5,7.9230769231,7,11,13.7777777778,7.3333333333,5.3333333333,9.1052631579,8.2727272727,12,12.2,73.83,257.5584615385,188.16675,361.916,276.4372222222,135.2583333333,74.4903333333,233.2573684211,192.2746363636,429.3255,259.4624
