id,program,wrangling_percentc,coding_percentc,dtree_percentc,sna_percentc,nlp_percentc,viz_percentc,nnet_percentc,google_percentc,nongoogle_percentc,jitl_percentc,substantive_percentc,wrangling_click,coding_click,dtree_click,sna_click,nlp_click,viz_click,nnet_click,google_click,nongoogle_click,jitl_click,substantive_click,wrangling_time,coding_time,dtree_time,sna_time,nlp_time,viz_time,nnet_time,google_time,nongoogle_time,jitl_time,substantive_time
1961,1,1,0.615384615,0.5,0.666666667,0.777777778,1,0.666666667,0.631578947,0.818181818,0.5,0.8,1.25,3.384615385,2,3.166666667,3,5.333333333,3.666666667,2.052631579,4.636363636,3,5.2,71.41275,165.6684615,156.41975,182.9163333,130.8032222,176.302,189.086,132.9614211,164.5975455,212.967,227.2634
1884,1,0.75,0.538461539,0.75,0.5,0.555555556,0.666666667,0.666666667,0.684210526,0.545454546,1,0.6,7,10.15384615,5,11.33333333,3.666666667,14,2.666666667,5.842105263,6.636363636,13.5,4.4,193.909,246.9323846,130.04025,281.9626667,140.6158889,295.5703333,94.71666667,176.1702105,155.4212727,366.109,150.8996
1962,1,0.75,0.538461539,0.5,0.333333333,0.666666667,0.666666667,1,0.684210526,0.545454546,1,0.8,1.5,6.538461539,8.5,3.333333333,4,8.333333333,6.333333333,4.684210526,7.454545455,4,4.4,101.00875,229.3906923,138.461,273.2545,130.9958889,309.852,183.352,171.8875263,191.3047273,373.961,146.5642
1467,1,0.75,0.538461539,0.5,0.5,0.777777778,0.666666667,1,0.736842105,0.636363636,1,0.8,2.25,3.923076923,3,4.166666667,3.111111111,3.333333333,4.333333333,3.315789474,3.727272727,5,3,230.065,302.042,79.38625,415.507,140.4628889,204.625,127.4063333,212.8072632,178.8300909,509.4755,177.8674
1872,1,0.75,0.692307692,1,0.666666667,0.555555556,0.666666667,1,0.842105263,0.545454546,1,0.8,6,15.23076923,11,17.33333333,9.222222222,14.33333333,13.33333333,10.78947368,13.27272727,22.5,14.4,130.6825,246.9445385,191.44975,301.8261667,163.8522222,190.4453333,151.8796667,203.1928947,182.9515455,346.8075,161.9666
1599,1,0.75,0.615384615,0.75,0.833333333,0.777777778,0.666666667,1,0.789473684,0.727272727,0.5,0.8,1.75,3.230769231,2,4,1.555555556,3.333333333,2,2.421052632,2,4.5,1.6,113.8045,216.7796923,208.03175,215.008,190.279,248.8093333,259.8873333,192.561,201.5043636,227.7075,239.0752
1251,1,0.75,0.538461539,0.75,0.333333333,0.777777778,0.666666667,1,0.736842105,0.545454546,0.5,1,7.25,7,5.75,5.666666667,3.888888889,12.66666667,6.333333333,4.684210526,6.454545455,8,5.4,223.79125,298.2806154,156.322,311.747,143.9858889,398.1233333,210.5343333,212.0847368,212.8068182,404.419,131.3062
1270,1,0.75,0.692307692,0.75,1,0.666666667,0.666666667,1,0.894736842,0.545454546,0.5,0.8,2.75,3.846153846,4.25,5.166666667,4.333333333,3,8.333333333,4.315789474,5,3.5,7.4,109.42975,193.6413846,252.69075,227.5021667,206.3913333,128.5203333,257.227,186.8936316,239.3362727,227.73,354.5424
1343,1,0.75,0.692307692,0.75,0.666666667,0.777777778,0.666666667,1,0.842105263,0.636363636,1,0.8,3,12.23076923,8.25,15.5,10.66666667,9.333333333,9.666666667,10.10526316,9.818181818,16.5,10.4,154.96775,274.7703846,221.57075,273.4035,249.972,144.8543333,90.18033333,199.4226842,230.268,255.3125,327.0674
1756,1,0.75,0.769230769,1,1,0.888888889,0.666666667,1,1,0.636363636,1,1,1.5,7.923076923,7,11,13.77777778,7.333333333,5.333333333,9.105263158,8.272727273,12,12.2,73.83,257.5584615,188.16675,361.916,276.4372222,135.2583333,74.49033333,233.2573684,192.2746364,429.3255,259.4624
